nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Sorocaba,Ddm Sorocaba,2025,1,2016-01-06,,Em Hora Incerta,Quarta-Feira,Sítio,Mato Dentro,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2025-01-05,18:00:00,Não Informado,Domingo,Casa,Brigadeiro Tobias,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-02,,Em Hora Incerta,Quinta-Feira,Via Pública,Parque São Bento,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Sorocaba,Ddm Sorocaba,2025,1,2025-01-01,06:00:00,Não Informado,Quarta-Feira,Casa,Jardim Nogueira,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,11,2024-11-01,,Em Hora Incerta,Sexta-Feira,Casa,Parque São Bento,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,12,2024-12-02,18:00:00,Não Informado,Segunda-Feira,Casa,Jardim Marnilda,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,9,2024-09-10,,Em Hora Incerta,Terça-Feira,Casa,Jardim Betania,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,8,2016-08-15,,Em Hora Incerta,Segunda-Feira,Casa,Caguaçu,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,12,2024-12-12,01:07:00,Não Informado,Quinta-Feira,Apartamento,Caguaçu,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Furto (Art. 155),Furto - Outros
Sorocaba,Ddm Sorocaba,2025,1,2025-01-04,09:00:00,Não Informado,Sábado,Casa,Habiteto,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-12,20:00:00,Não Informado,Domingo,Igreja,Jardim Botucatu,Avenida Ipanema,-23.457381627,-47.50295734,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-21,14:00:42,Não Informado,Terça-Feira,Casa,Ipanema Ville,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-21,08:00:00,Não Informado,Terça-Feira,Casa,Ipanema Ville,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-23,08:25:00,Não Informado,Quinta-Feira,Casa,Lopes De Oliveira,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-26,18:00:00,Não Informado,Domingo,Casa,Parque Sao Bento,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,9,2024-09-10,,Em Hora Incerta,Terça-Feira,Casa,Jardim Betania,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-29,09:00:16,Não Informado,Quarta-Feira,Casa,Jardim Sao Guilherme I,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-11,,Em Hora Incerta,Sábado,Casa,Wanel Ville,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2025-01-13,11:00:00,Não Informado,Segunda-Feira,Casa,Parque Manchester,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2025-01-19,,Em Hora Incerta,Domingo,Casa,Jardim Simus Ii,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2025-01-23,20:00:00,Não Informado,Quinta-Feira,Casa,Jardim Simus Ii,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2025-01-24,17:45:00,Não Informado,Sexta-Feira,Casa,Jardim Sao Marcos,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2025-01-09,13:30:46,Não Informado,Quinta-Feira,Casa,Parque Esmeralda,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Furto (Art. 155),Furto - Outros
Sorocaba,Ddm Sorocaba,2025,1,2025-01-02,01:30:00,Não Informado,Quinta-Feira,Casa,Júlio De Mesquita Filho,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-23,20:00:00,Não Informado,Quinta-Feira,Casa,Jardim Simus Ii,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-06,09:00:00,Não Informado,Segunda-Feira,Casa,Jardim Wanel Ville Iv,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Roubo (Art. 157),Roubo - Outros
Sorocaba,Ddm Sorocaba,2025,12,2024-12-27,,Em Hora Incerta,Sexta-Feira,Casa,Vila Assis,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2025-01-07,10:25:00,Não Informado,Terça-Feira,Casa,Vila Assis,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-05,20:00:00,Não Informado,Domingo,Casa,Jardim Maria Antônia Prado,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,1,2025-01-21,08:00:00,Não Informado,Terça-Feira,Casa,Parque Vitoria Regia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Votorantim,Ddm Votorantim,2025,12,2024-12-29,22:00:11,Não Informado,Domingo,Praça,Não Informado,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Votorantim,Ddm Votorantim,2025,1,2025-01-07,13:30:00,Não Informado,Terça-Feira,Casa,Capoavinha,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Votorantim,Ddm Sorocaba,2025,1,2025-01-18,01:30:00,Não Informado,Sábado,Chácara,Chácaras Leão,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
