codigo_bo,ano_ocorrencia,data_ocorrencia_bo,nome_municipio,nome_delegacia,tipo_ocorrencia,local_ocorrencia,bairro,flagrante,natureza_autor,sexo_autor,idade_autor,raca_autor,profissao_autor,escolaridade_autor,tipo_prisao_ssp
Nx5637,2024,2024-10-09,Votorantim,Ddm Votorantim,,Casa,Vossoroca,S,Indiciado,M,28,Parda,Catador Material Reciclavel,1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Ae0554,2024,2024-01-04,Sorocaba,Ddm Sorocaba,,Casa,Brigadeiro Tobias,S,Indiciado,M,32,Parda,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Lp8354,2024,2024-08-26,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Via Pública,Jardim Sao Conrado,S,Indiciado,M,30,Parda,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Lz7543,2024,2024-09-02,Sorocaba,Ddm Sorocaba,,Casa,Jardim Maria Eugenia,S,Indiciado,M,42,Parda,Motorista,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Em6379,2024,2024-04-01,Sorocaba,Ddm Sorocaba,,Casa,Jardim Itapoa,S,Indiciado,M,39,Parda,Desempregado,1º Grau Completo,Nº De Infratores Presos Em Flagrante
Bl9964,2024,2024-01-31,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Jardim Ana Maria,S,Indiciado,M,23,Parda,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Dm0684,2024,2024-03-11,Sorocaba,Ddm Sorocaba,,Casa,Parque Das Laranjeiras,S,Indiciado,M,33,Parda,Pizzaiolo(A),2º Grau Completo,Nº De Infratores Presos Em Flagrante
Jc7268,2024,2024-07-04,Sorocaba,Ddm Sorocaba,,Ônibus/Lotação/Trolebus,Vila Alcolea,S,Indiciado,M,36,Parda,Vendedor(A) Ambulante,2º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Ei7885,2024,2024-03-28,Votorantim,Ddm Votorantim,,Delegacia,Jardim Icatu,S,Indiciado,M,46,Parda,Motorista,2º Grau Completo,Nº De Infratores Presos Em Flagrante
No1391,2024,2024-10-02,Sorocaba,Ddm Sorocaba,,Casa,Habiteto,S,Indiciado,M,37,Parda,Desempregado(A),1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Dz5201,2024,2024-03-21,Votorantim,Ddm Votorantim,,Delegacia,Jardim Icatu,N,Capturado,M,46,Preta,Ajudante Geral,1º Grau Incompleto,Nº De Infratores Presos Por Mandado
Of0989,2024,2024-10-15,Votorantim,Ddm Votorantim,,Delegacia,Jardim Icatu,N,Capturado,M,30,Preta,Auxiliar De Marceneiro,2º Grau Completo,Nº De Infratores Presos Por Mandado
Qm3602,2024,2024-11-29,Sorocaba,Ddm Sorocaba,,Casas,Jardim Flamboyant,S,Indiciado,M,32,Preta,Conferente,Não Informado,Nº De Infratores Presos Em Flagrante
Fh9031,2024,2024-04-17,Sorocaba,Ddm Sorocaba,,Casa,Jardim Hungares,S,Indiciado,M,25,Preta,Sem Profissao Definida,1º Grau Completo,Nº De Infratores Presos Em Flagrante
Lg8468,2024,2024-08-19,Sorocaba,Ddm Sorocaba,,Casa,Brigadeiro Tobias,S,Indiciado,M,45,Preta,Auxiliar De Expedicao,2º Grau Completo,Nº De Infratores Presos Em Flagrante
