codigo_bo,nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Dw1948,Sorocaba,Ddm Sorocaba,2025,3,2025-03-14,,Em Hora Incerta,Sexta-Feira,Casa,Parque Vitoria Regia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Dz7021,Sorocaba,Ddm Sorocaba,2025,3,2025-03-17,11:00:00,Não Informado,Segunda-Feira,Casa,Parque Das Laranjeiras,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ed6724,Sorocaba,Ddm Sorocaba,2025,3,2025-03-18,19:30:00,Não Informado,Terça-Feira,Casa,Jardim Alpes Imperatriz,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ej2580,Sorocaba,Ddm Sorocaba,2025,3,2025-03-24,13:10:00,Não Informado,Segunda-Feira,Casa,Jardim Atilio Silvano,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ek6395,Sorocaba,Ddm Sorocaba,2025,3,2025-03-25,14:15:00,Não Informado,Terça-Feira,Casa,Parque Vitoria Regia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ep9196,Sorocaba,Ddm Sorocaba,2025,3,2025-03-27,00:30:00,Não Informado,Quinta-Feira,Casa,Jardim Santo Andre,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ds8690,Sorocaba,Ddm Sorocaba,2025,3,2025-03-12,12:00:00,Não Informado,Quarta-Feira,Casa,Jardim San Rafael,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,"Drogas Para Consumo Pessoal Sem Autorização Ou Em Desacordo (Art.28,Caput)",Porte De Entorpecentes
Dk6804,Votorantim,Ddm Votorantim,2025,3,2025-03-05,21:00:10,Não Informado,Quarta-Feira,Área Comum,Jardim Sao Lucas,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Dp7659,Votorantim,Ddm Votorantim,2025,3,2025-03-09,15:36:00,Não Informado,Domingo,Casa,Vila Amorim,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Dz6092,Sorocaba,Ddm Votorantim,2025,3,2025-03-15,20:00:24,Não Informado,Sábado,Via Pública,Jardim Novo Mundo,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Eb0887,Votorantim,Ddm Votorantim,2025,3,2025-03-18,13:00:34,Não Informado,Terça-Feira,Casa,Vossoroca,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ed6510,Sorocaba,Ddm Votorantim,2025,3,2025-03-20,04:30:00,Não Informado,Quinta-Feira,Casa,Jardim Novo Mundo,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
